model,R2,MAE,RMSE
LinearRegression,0.14844717782052685,1.2472027716296956,1.592039887509105
Ridge,0.2860520402593597,1.200801691691207,1.457744550672041
Lasso,0.354439439551976,1.1359076991817552,1.3861704715010674
RandomForest,0.32949787348207926,1.0940434975000002,1.4126944142601927
ExtraTrees,0.49171438408209334,0.9347417875000006,1.2299913522564316
GradientBoosting,0.36804226322472133,1.0856886750444799,1.3714884853694065
KNN,-0.05584182024628204,1.4063398571428574,1.7727503429515095
MLP,-0.043426151466330776,1.3770753494604224,1.7622966141889551
XGBoost,0.34395467714363115,1.0838410670101644,1.3973817596548108
