perturbation,chgnet_energy_per_atom,forces_norm,stress_norm
0.01,-0.046598486602306366,142.1413116455078,22.596349716186523
0.03111111111111111,-0.02261083759367466,394.01654052734375,66.06016540527344
0.052222222222222225,-0.025063546374440193,335.8569641113281,38.381996154785156
0.07333333333333333,-0.023734452202916145,389.2970886230469,12.11394214630127
0.09444444444444444,-0.026508426293730736,385.5899963378906,17.266023635864258
0.11555555555555555,-0.016906334087252617,471.1181335449219,48.66471481323242
0.1366666666666667,-0.016692759469151497,412.72052001953125,30.5473575592041
0.1577777777777778,-0.01936722733080387,601.0233764648438,32.04050827026367
0.1788888888888889,-0.021042250096797943,347.0776062011719,39.2470588684082
0.2,-0.025053301826119423,222.2152099609375,39.7961311340332
