,count,mean,std,min,25%,50%,75%,max
density,500.0,2.47027676677911,1.0493369330973001,0.063552436689304,1.777389750216503,2.319411068547433,2.9483548034165286,12.647059817762718
volume,500.0,765.9479571112608,622.1923205116071,26.976061997712165,367.493360331394,603.2155427121265,941.8395751568913,4467.309692898519
energy_per_atom,500.0,-6.746500401784784,1.4699535427097872,-26.666414855,-7.264290771041667,-6.760082079598215,-6.10588151953125,-3.618995116666666
formation_energy_per_atom,500.0,-1.0634826256852483,0.7480064602895237,-3.13110144824074,-1.6938379076282324,-1.102534381675346,-0.529225437960379,1.2929252887222211
band_gap,500.0,2.6860554000000003,1.7617131638874899,0.0,1.0731,2.83565,4.033225,6.9361000000000015
