model,R2,MAE,RMSE
LinearRegression,0.42091257347997957,329.65542946653807,517.0990536796864
Ridge,0.5376107745383859,285.2162319787818,462.0676118069983
Lasso,0.42589715574033615,329.0108659641355,514.8687398650334
RandomForest,0.6112622893927127,235.707487343613,423.6722426162852
ExtraTrees,0.6284186725981262,217.9412868082036,414.21766504798273
GradientBoosting,0.5600025768357471,263.3136543772454,450.7406657600415
KNN,0.2485129001727755,367.43020788261015,589.0639431455584
MLP,0.42004519657495965,303.7262554293279,517.486173076383
XGBoost,0.6564950473146143,228.0591136043252,398.26136404278674
