model,R2,MAE,RMSE
LinearRegression,0.7525547029453565,0.27720053209152784,0.4031969895967281
Ridge,0.8203351957563393,0.2428470121192307,0.3435652124845658
Lasso,0.8269246614135904,0.2442261534704899,0.3372059846668824
RandomForest,0.8324349616711676,0.2157209068416613,0.3317946537899205
ExtraTrees,0.850753262154821,0.20199534456230442,0.313133911147043
GradientBoosting,0.8203925856011935,0.23122708789181512,0.343510336046396
KNN,0.08561664931381185,0.6193477700482078,0.7750716175796964
MLP,0.4691806492318834,0.4886750649065499,0.5905423556329815
XGBoost,0.8441661047509594,0.20559387980834792,0.3199695437961722
