step,energy_eV,temperature_K
227,-814.28515625,62.4816
228,-814.29614258,63.3818
229,-814.26269531,62.3429
230,-814.21948242,60.5362
231,-814.21527100,60.8404
232,-814.24938965,62.8995
233,-814.29296875,65.8511
234,-814.32489014,68.9126
235,-814.34173584,71.8775
236,-814.34979248,71.9301
237,-814.36016846,73.6101
238,-814.37457275,74.6807
239,-814.37921143,76.7320
240,-814.36773682,76.8197
241,-814.33453369,74.6256
242,-814.29968262,73.1381
243,-814.28112793,73.0354
244,-814.28002930,72.9066
245,-814.28637695,74.3121
246,-814.27795410,72.7100
247,-814.24810791,71.6234
248,-814.22839355,70.9682
249,-814.23809814,71.8996
250,-814.25750732,73.1881
251,-814.24609375,73.4403
252,-814.19952393,70.4353
253,-814.15039062,68.5286
254,-814.13391113,68.6201
255,-814.15106201,68.6790
256,-814.16845703,71.2999
257,-814.15728760,73.2229
258,-814.12316895,70.1886
259,-814.10900879,70.7265
260,-814.11315918,71.8887
261,-814.11767578,73.0531
262,-814.10131836,70.9174
263,-814.06329346,70.7497
264,-814.02191162,67.9861
265,-814.00457764,67.1447
266,-814.01904297,68.2774
267,-814.03820801,70.7005
268,-814.03527832,71.7279
269,-814.01910400,70.6882
270,-814.02191162,71.2736
271,-814.05743408,74.2307
272,-814.09588623,76.8602
273,-814.10101318,76.1788
274,-814.07318115,75.9033
275,-814.05474854,74.8903
276,-814.05419922,74.7808
277,-814.05487061,75.9010
278,-814.04364014,76.2632
279,-814.02899170,76.7033
280,-814.01885986,76.5718
281,-814.03381348,77.5836
282,-814.07525635,80.2235
283,-814.11187744,82.7278
284,-814.11596680,82.6767
285,-814.10693359,83.1814
286,-814.11315918,84.1416
287,-814.10833740,84.5857
288,-814.06604004,83.1037
289,-814.01312256,80.8964
290,-813.98077393,79.6967
291,-813.97717285,79.8638
292,-813.98388672,80.8176
293,-813.96978760,80.6813
294,-813.94067383,79.9435
295,-813.93798828,79.8279
296,-813.99005127,83.0904
297,-814.05163574,86.5948
298,-814.06378174,87.4421
299,-814.03906250,87.0783
300,-814.03552246,87.9510
301,-814.07641602,90.5791
302,-814.11560059,93.7774
303,-814.09234619,93.2703
