material_id,xrd_mean_intensity,xrd_std_intensity,xrd_skew_intensity,xrd_kurt_intensity,peak_0_tt,peak_0_int,peak_1_tt,peak_1_int,peak_2_tt,peak_2_int,peak_3_tt,peak_3_int,peak_4_tt,peak_4_int,peak_5_tt,peak_5_int,peak_6_tt,peak_6_int,peak_7_tt,peak_7_int,peak_8_tt,peak_8_int,peak_9_tt,peak_9_int
mp-1228833,0.02313892788893935,0.09502398118309671,7.51017264069336,64.26705788681413,18.082944423385868,0.2654935959057661,9.013284799398555,0.28216141459697447,17.319826295993412,0.3002607276441984,20.428355095721546,0.3002665457719546,16.598302880228843,0.5415390462194749,24.117747735844947,0.6270534575110558,11.310669210515666,0.6577801453144023,22.76856842340461,0.9377490195071836,23.01783852843398,0.9539090484642182,22.73345296651219,1.0
mp-600347,0.015505057435229074,0.05696360695606472,11.088713834430063,150.63756349847267,31.40198713404024,0.17951436967137308,23.53370665630693,0.23366049791448873,31.719547286598296,0.25660179107561265,12.534459651282102,0.3314561519159219,10.884880309962327,0.388226328000308,13.9190936091122,0.451251056328119,18.29629904227741,0.5361323515006662,12.662097360409398,0.6827502325427146,11.650053497111518,0.7535891155562716,15.078626139248751,1.0
mp-720808,0.008270851034488666,0.047504832016834336,15.493375598525741,267.05442667053507,31.824923176645207,0.10626247962751263,31.880341632396043,0.1509714671050694,17.233313847997692,0.1643002471091177,29.799878627065283,0.34252012835551676,13.80775394003835,0.5105649955229236,12.02099323260063,0.5518563774326353,10.787680280275305,0.567585320823704,11.746174328288902,0.7415209604063004,9.684353357252343,0.886952485407526,11.594474053078104,1.0
mp-721193,0.007053254447026847,0.04277041726678547,18.40042309706938,375.56937959225576,16.784044199123485,0.166140859360408,29.975111670949563,0.18755938673504005,27.9520667613815,0.19749355028643162,31.533709190817774,0.20201985774618794,13.13749296133923,0.6079353961533126,13.312034615659867,0.6255457069053822,12.248068012471013,0.7144466980736033,12.510892340879575,0.9400462784912516,11.557110371575906,0.9521570213822599,11.662652781300885,1.0
mp-758103,0.02679183120214166,0.08791070215920083,8.04201772919918,79.58559398915354,47.45382904680515,0.10974937892191403,36.85268187591028,0.13713110868851555,20.901864695121773,0.14481845745410302,45.83671802358456,0.15632209999067675,29.376260884511755,0.16793817090999386,31.62166138225743,0.20215737801883502,31.706541770879497,0.25973788449039886,12.702510869791444,0.29688677282907977,18.440714158491588,0.5214549377186996,11.668549076294932,1.0
mp-995221,0.05200055256544375,0.15766316846250572,4.667805568967744,22.35785219804813,55.57022355912863,0.06242207935058552,59.028458711406564,0.06380553527207593,31.303200316341243,0.06394857794449607,56.377969204974235,0.07752970706316654,23.70700674537619,0.08384490517693205,28.770130630073783,0.17452715547685466,39.075286727399,0.41962000616576495,23.405032883238523,0.6383638470061964,20.146276693707897,0.7719229704735165,19.97401570152256,1.0
mp-1197697,0.008958420634830794,0.04553341889013001,16.41858038547101,319.7683518737806,24.786940214065638,0.11085558084658975,13.130826061688229,0.12980373340643955,27.637712291154102,0.1305567689244029,18.389908186517772,0.13298761638969028,36.04491429560895,0.14066641852778963,16.792231177725128,0.15323568753034394,16.249967985344266,0.24404065614527803,13.495960149430747,0.24663582294785186,13.90984469745632,0.6820316728802106,12.912512814326467,1.0
mp-721312,0.07192732311550169,0.14934405792955702,4.102486908775221,19.55952785025257,44.51885529745155,0.23576456181125566,40.63438592249338,0.24182854758224065,57.805329510928104,0.2575558372099939,33.69504786360968,0.329888952898736,36.591698284410576,0.33850699078469243,45.57842415099381,0.40647367913504184,33.26618059633972,0.515490462641305,34.34196222047678,0.6016915864843387,38.417866433666866,0.8826509533317206,33.03151864790809,1.0
mp-1222084,0.025969979193557126,0.08805846302283066,7.288339486856185,66.31306851486043,46.695092637311205,0.14804307999063618,44.30302809480329,0.17820998435693813,29.919662192927024,0.22123642807727936,31.518255418825166,0.2456973499092488,38.84880158669132,0.2711245498568412,31.92529300165491,0.31261479418154337,17.74368031410541,0.36195931170838724,15.686764528037324,0.496335113965102,24.76618530793292,0.5545514821669866,14.831812441717172,1.0
mp-644256,0.05268312969174541,0.122352541668807,5.050000145670395,32.83529954907909,40.52441830196871,0.17585025889500205,22.359768607407528,0.19009185902417722,35.328191387785466,0.1940645941191393,16.154220910698967,0.21520655038066072,24.347622139857723,0.3167265473292123,28.912624897953346,0.33671030932265084,30.082045723925802,0.3537940921217503,34.074199159344055,0.41476853153735377,25.45265022340166,0.4149464740553274,28.625711087042752,1.0
mp-1193268,0.04258373258812031,0.10768714230694046,5.283737099702328,36.557568888952645,34.837262428536654,0.2525683630715002,17.216247769678066,0.26689256828041474,45.77743702650004,0.2756875158872166,39.273945354084255,0.2872233270241998,38.92953535478688,0.29663418325501245,39.85160321514982,0.31996132753323464,35.07570946423119,0.3742639518693444,23.90994552902975,0.5337371073709472,16.854892508819784,0.5790882501664585,24.835168664014347,1.0
mp-709039,0.0077680166508873275,0.04033170494439062,19.85102685674276,454.59938138148897,23.0764139674231,0.0649034781892665,31.56017020976066,0.0655049126083748,22.937963371699002,0.07364428619622124,19.60949325126905,0.08220418970795135,17.31684851951526,0.10242194342325638,21.123813927526932,0.13745825784521787,13.249223395095184,0.16285270526900586,13.875722438191374,0.19711463998437423,14.180510864106001,0.5051906799886908,14.661787122250445,1.0
mp-1194908,0.04169805949412731,0.11613053965966483,5.990785135407957,40.79922044611632,37.025468594213955,0.1636562541020047,38.288804430795075,0.18744514541428423,27.880026205599098,0.19523506333186466,37.98559914763511,0.20301740531258783,30.721448396600977,0.3732491663868754,35.98556359789852,0.41533841364640045,12.733563943685605,0.4586379823689527,20.864596982897666,0.5758259783814761,17.92414751211547,0.9030036318652815,16.525682023495634,1.0
mp-1227189,0.0469577116841917,0.12213564022390026,5.779101796295237,38.917253456932244,22.566111432214008,0.13738544545714904,43.019784715956725,0.17949920847713727,43.77526820774609,0.21558767713865992,36.763617534679206,0.28436952592528775,37.55285322298768,0.31683578872845913,35.57408680655332,0.32449688384611586,14.989069707209767,0.33858722925253,28.780494703265788,0.4796973059043272,24.019337638083364,0.9311721269435622,14.276337072928465,1.0
