time_fs,avg_displacement_A,rms_displacement_A,com_drift_A,bbox_volume_A3
0.0,0.0,0.0,0.0,1412.7119875209125
1.0,0.0007007877523277192,0.0009056883622385289,0.0001870777046784204,1412.6723060101745
2.0,0.0014646569155383753,0.0019033666141265067,0.0004550902512142493,1412.874901809484
3.0,0.002333998534554006,0.0030042644852493207,0.0007781615737835055,1413.3670951150696
4.0,0.003299064007020025,0.004243424865852101,0.0010917878547613284,1413.928218126553
5.0,0.004308675259053004,0.00555199977854586,0.0013800882256328104,1414.6330620761005
6.0,0.005343591066738421,0.0069380494595841485,0.0016971305995984074,1415.042704531945
7.0,0.0064154701006673195,0.008346304436431723,0.0020058081819012198,1415.1932923814147
8.0,0.007434312267416927,0.009650552160096127,0.002223955576295033,1414.9708084943422
9.0,0.008427543139742689,0.010914955431643404,0.0024081940828669054,1414.447998106783
10.0,0.00935172018985918,0.012107061755095598,0.002485118995854789,1413.9705324420206
11.0,0.010260436833007626,0.01326237403831104,0.0024603927802280905,1413.6108730402502
12.0,0.011270387979009342,0.014468111236487148,0.0025165917554355473,1413.4883093931521
13.0,0.012264619197266326,0.015606334590439778,0.002619284464555241,1413.7532131691173
14.0,0.013247823000159998,0.016783094186494436,0.002760070616554008,1414.3663637480931
15.0,0.014247901140651706,0.017974529193906293,0.0029481439684525363,1415.2841208112434
16.0,0.015258552026220052,0.01918947800312343,0.003130689071633494,1416.0007679827459
17.0,0.0161763783357916,0.020356124400196417,0.003304531991541908,1416.3513242649915
18.0,0.0169217451655238,0.02135252877605687,0.0033697475916642486,1416.3985415926436
19.0,0.01765436592864491,0.02235691596391239,0.003408880917503604,1416.091079574379
20.0,0.018447672233183676,0.023410860549635926,0.003519766960959867,1415.6936264058543
21.0,0.019311110619841174,0.024509812356461894,0.0036423313084501152,1415.277970750107
22.0,0.020282732787677362,0.0257760040823727,0.003796358177427619,1414.9535727940881
23.0,0.021251296918942935,0.027073774289360832,0.003937167141735548,1414.6836264858944
24.0,0.022291554143070637,0.028458449290698323,0.00409418247560326,1414.587278449482
25.0,0.023402250920071213,0.029864484367707358,0.004292004290594887,1414.6205116656927
26.0,0.024536074550793673,0.03124166568321901,0.004429233978242061,1414.7026155280578
27.0,0.02564204778414904,0.03261019920203557,0.004532862779987504,1415.0717698283536
28.0,0.026683073589624334,0.033956940624168805,0.0046595370696064405,1415.6140892054202
29.0,0.027617798778158564,0.03521549932105775,0.004701824637164941,1415.7588534046977
30.0,0.028474495126175264,0.03640834525804256,0.0046795423609086615,1415.2047869113444
31.0,0.02937045898425841,0.03758181933987054,0.004704877547846028,1414.3644658534117
32.0,0.030352442414605635,0.03880555993091253,0.004829538867567267,1413.5298186119414
33.0,0.031367247328218946,0.0400168739136673,0.005072843071877242,1413.0432127862648
34.0,0.03247900238887852,0.041330081188387276,0.005354539579483669,1412.7447077331847
35.0,0.033687116361803535,0.04276738166242547,0.005640509042834359,1412.8004484595178
36.0,0.03487782312192404,0.04421707182201178,0.005909629043904808,1413.1029741496682
37.0,0.03601105805398997,0.04562249162477096,0.006141992160147002,1413.6502884587383
38.0,0.037062024566049366,0.04696757856742564,0.006288049138803847,1413.8026004569228
39.0,0.0380096573669865,0.04822284176031869,0.006352874924886549,1413.2890799730164
40.0,0.038866051292785087,0.04936802361212467,0.006384733897751058,1412.636146375148
41.0,0.039772693675584725,0.05049309416905962,0.006384572569357932,1412.3665243790206
42.0,0.040739834913512706,0.051654100749348994,0.006331507565811783,1412.3485316666756
43.0,0.04175814105171834,0.05287203009134708,0.006280766192325554,1412.80947895456
44.0,0.042757743161625374,0.054105112836542915,0.006197471864267682,1413.6964988534735
45.0,0.043766857143524324,0.0554076453656656,0.006051865404190502,1414.6055106661154
46.0,0.044806864413448444,0.05675590536964755,0.005910735873553995,1414.8035198518528
47.0,0.04588321837045138,0.058237877333244176,0.005823972346202049,1414.5768615102193
48.0,0.04700862013185358,0.059809905913025305,0.005802278846030421,1414.0958351837348
49.0,0.04816430553271025,0.06140653471622226,0.0057584700808942105,1413.545696970053
50.0,0.04930450447507499,0.06289961746228084,0.005724594078348014,1413.1607577272994
51.0,0.05034427913197829,0.06426599901306512,0.005753254244930465,1413.1243254795627
52.0,0.0513830988648838,0.06564374828421968,0.005881197818664147,1413.3969171929482
53.0,0.052450133924071864,0.0670685178112025,0.006109781222510738,1413.7754703049338
54.0,0.05360522217936225,0.06857834420857432,0.006391687078029778,1414.1370205646472
55.0,0.05477319603589801,0.07007800005539061,0.006734314594869726,1414.5106982765583
56.0,0.055931384297910065,0.07160038825785472,0.007155783586766327,1414.7455125885515
57.0,0.057086557733406935,0.0732063448342146,0.007653716332087377,1414.5398633281823
58.0,0.0582287949442328,0.0748918657318624,0.008170572583618788,1414.207506951798
59.0,0.05946429618254356,0.07667539279536703,0.008698689459703488,1413.9116429565208
60.0,0.060744377152680974,0.07844469903506877,0.00926495035601872,1414.158648273038
61.0,0.062081457036344545,0.08016785494676242,0.009869411817457553,1414.678556820742
62.0,0.06355092954496883,0.08190587010681238,0.010472250495647057,1415.243871076351
63.0,0.06506945735012179,0.08367748811320515,0.011013529039408785,1415.8387328684043
64.0,0.06661698357803202,0.08547634165443167,0.011539878227572742,1416.3739795480503
65.0,0.06809061055864664,0.08719815908760478,0.012053244621876824,1416.4312204078701
66.0,0.06947455233892086,0.08889583604343486,0.012519978381954313,1416.4697515048429
67.0,0.0708221117859293,0.09066666428821492,0.012908092791313764,1416.2500671538837
68.0,0.07214110804921187,0.0924909929483776,0.013190624507820773,1415.8210076614732
