model,R2,MAE,RMSE
LinearRegression,0.2381414480529782,0.5245402620269912,1.9389695506332305
Ridge,0.1727393323638995,0.6459846546829675,2.020482083134548
Lasso,0.08534732760668973,0.6147259163331461,2.1245253591917614
RandomForest,0.2039609736272413,0.5554530387346319,1.9819878848926928
ExtraTrees,0.18356023037950508,0.4851612736210966,2.0072242319736042
GradientBoosting,0.27901032651417246,0.5464130722741406,1.88624602604305
KNN,0.2444202410862616,0.9680057284356092,1.9309630933179502
MLP,0.06081384027084791,1.080914575827012,2.1528296074100752
XGBoost,0.36458297960248065,0.5007211240500986,1.7707744108168302
