model,R2,MAE,RMSE
LinearRegression,0.7505494083803395,0.3017127144304313,0.6782225327806584
Ridge,0.23728322782814515,0.6199098347947374,1.1859369310229042
Lasso,0.4466709546077824,0.4757979588998178,1.010116997473362
RandomForest,0.38782796458021707,0.5287736881417243,1.0624700305366022
ExtraTrees,0.3608682183824824,0.4449394767934326,1.0856132922457213
GradientBoosting,0.47409790478859515,0.47981001537175816,0.9847645261500277
KNN,0.1311725231659686,0.7930288340946516,1.2657464522510469
MLP,0.1877011811148569,0.7315816793353628,1.2238772334064778
XGBoost,0.4792007406886931,0.4753655333058142,0.9799752878512799
