# r(Angstrom) g(r)
8.896321070234114003e+00 9.935531474926625473e-01
8.929765886287624355e+00 8.869738302516944062e-01
8.963210702341136482e+00 8.858474539348294430e-01
8.996655518394648610e+00 1.009550191955399523e+00
9.030100334448160737e+00 8.027572633077869613e-01
9.063545150501671088e+00 8.931189847762868173e-01
9.096989966555183216e+00 7.007666728485543173e-01
9.130434782608695343e+00 1.059287679532214810e+00
9.163879598662207471e+00 1.025425002140999853e+00
9.197324414715717822e+00 8.777604937756003922e-01
9.230769230769229949e+00 1.057051447369097952e+00
9.264214046822742077e+00 1.254216899686688258e+00
9.297658862876254204e+00 1.036841354204884658e+00
9.331103678929766332e+00 9.486953466322392003e-01
9.364548494983276683e+00 9.419430951914209427e-01
9.397993311036788810e+00 9.004390655396456999e-01
9.431438127090300938e+00 1.141057765472453411e+00
9.464882943143813065e+00 1.113402749031386474e+00
9.498327759197323417e+00 1.115330304606788614e+00
9.531772575250835544e+00 8.850573832776525984e-01
9.565217391304347672e+00 9.125084950834019271e-01
9.598662207357859799e+00 1.006327470709673211e+00
9.632107023411370150e+00 9.046369160108636009e-01
9.665551839464882278e+00 9.219163395085537838e-01
9.698996655518394405e+00 1.055719991665075463e+00
9.732441471571906533e+00 1.043849729054855624e+00
9.765886287625416884e+00 8.201642732408549463e-01
9.799331103678929011e+00 9.564508636004853681e-01
9.832775919732441139e+00 1.013600593889689927e+00
9.866220735785953266e+00 1.128645703331906169e+00
9.899665551839463618e+00 1.071719425710257800e+00
9.933110367892975745e+00 8.819091530764253672e-01
9.966555183946487873e+00 8.715858237432513311e-01
1.000000000000000000e+01 1.002014021748573791e+00
